Brand,Model,Type,Screen Size,Screen Resolution,RAM,Operating System,CPU Brand,CPU Model,CPU Rate,SSD,HDD,GPU Brand,GPU Model,Price
Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,1096.16
HP,ProBook 440,Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,HD Graphics 620,860.0
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,AMD,A6-Series 9220,2.5GHz,128,0,AMD,R4 Graphics,399.0
Acer,Aspire 3,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A9-Series 9420,3GHz,0,1,AMD,Radeon R5,395.0
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,128,1,Nvidia,GTX 1050 Ti,1349.0
HP,Pavilion 15-CK000nv,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Nvidia,GeForce GTX 940MX,699.0
HP,250 G6,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,598.99
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,128,1,Nvidia,GeForce GTX 1060,1449.0
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Intel,UHD Graphics 620,1649.0
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,AMD,FX 9830P,3GHz,0,1,AMD,Radeon RX 560,699.0
Acer,Aspire 5,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,0,1,Nvidia,GeForce MX150,689.0
HP,Probook 430,Notebook,13.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,Intel,UHD Graphics 620,1197.0
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,256,0,Nvidia,GeForce GTX 1060,1195.0
Asus,Zenbook UX430UA,Ultrabook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,Intel,HD Graphics 620,1049.0
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,847.0
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i7 7500U,2.7GHz,0,1,AMD,Radeon R5 M430,599.9
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,4GB,Linux,Intel,Core i3 6006U,2GHz,256,0,AMD,Radeon R5 M430,485.0
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,6GB,Windows 10,Intel,Core i3 7100U,2.4GHz,256,0,Nvidia,GeForce 920M,577.0
HP,Omen 15-ce007nv,Gaming,15.6,IPS Panel Full HD 1920x1080,12GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,128,1,Nvidia,GeForce GTX 1050,1249.0
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,AMD,Radeon 530,719.0
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,8GB,Linux,Intel,Core i5 8250U,1.6GHz,0,1,AMD,Radeon 520,647.0
HP,Envy 13-ad009n,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,Nvidia,GeForce MX150,1119.0
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,8GB,Windows 10 S,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,1340.0
HP,Pavilion 14-BK001nv,Notebook,14.0,IPS Panel Full HD 1920x1080,6GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Nvidia,GeForce 940MX,659.0
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,Intel,HD Graphics 520,414.9
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,Nvidia,GeForce 940MX,1193.0
MSI,GP62M 7REX,Gaming,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GTX 1050 Ti,1299.0
Lenovo,Thinkpad T470,Notebook,14.0,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,256,0,Intel,HD Graphics 620,1480.0
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,1,Nvidia,GeForce MX150,1262.0
Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,8GB,Windows 10,Intel,Core i7 7560U,2.4GHz,256,0,Intel,Plus Graphics 640,1379.0
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,1399.0
HP,Probook 440,Notebook,14.0,IPS Panel 1366x768,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,500,Intel,UHD Graphics 620,722.0
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,1629.0
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,1398.99
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,Intel,UHD Graphics 620,1084.0
Dell,Inspiron 7570,Notebook,15.6,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,1,Nvidia,GeForce 940MX,1130.33
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,Nvidia,GeForce 920MX,564.0
Asus,VivoBook S15,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Nvidia,GeForce 940MX,1118.0
Acer,Spin 3,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,6GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,1,Intel,HD Graphics 620,479.0
MSI,GS63VR 7RG,Gaming,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,2,Nvidia,GeForce GTX 1070,2241.5
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,8GB,No OS,Intel,Core i5 7200U,2.5GHz,256,0,Nvidia,GeForce 940MX,629.0
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,512,0,Nvidia,GeForce 930MX ,1271.0
Acer,Aspire 3,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A9-Series 9420,3GHz,256,0,AMD,Radeon R5,451.0
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,1,Intel,UHD Graphics 620,812.0
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,1366x768,4GB,Windows 10 S,AMD,E-Series 6110,1.5GHz,64,0,AMD,Radeon R2,277.99
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,2,AMD,Radeon 530,1396.0
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,928.0
Dell,Inspiron 5567,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,1,AMD,Radeon R7 M445,638.99
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,AMD,Radeon R5 M430,449.0
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Intel,UHD Graphics 620,884.0
Acer,Aspire A515-51G-37JS,Notebook,15.6,Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 7130U,2.7GHz,256,0,Nvidia,GeForce MX130,572.0
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i7 7500U,2.7GHz,0,1,Intel,HD Graphics 620,598.0
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Intel,UHD Graphics 620,988.0
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7300HQ,2.5GHz,128,1,Nvidia,GeForce GTX 1050,938.0
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,4GB,No OS,Intel,Core i5 7200U,2.5GHz,0,1,Nvidia,GeForce 920MX,499.0
HP,Envy 13-AD007nv,Notebook,13.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,699.0
Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i3 7130U,2.7GHz,0,1,Nvidia,GeForce MX130,655.0
Lenovo,ThinkPad E480,Notebook,14.0,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,AMD,Radeon RX 550,1116.02
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,8GB,No OS,Intel,Core i7 7700HQ,2.8GHz,256,0,Nvidia,GeForce GTX 1050M,869.0
Toshiba,Satellite Pro,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i5 6200U,2.3GHz,0,500,Intel,HD Graphics 520,602.0
HP,255 G6,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A6-Series 9220,2.5GHz,256,0,AMD,Radeon R4 Graphics,369.0
Asus,ZenBook UX430UA,Ultrabook,14.0,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Intel,UHD Graphics 620,1099.0
HP,EliteBook Folio,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,Windows 10,Intel,Core M 6Y75,1.2GHz,512,0,Intel,HD Graphics 515,2014.0
MSI,GE72MVR 7RG,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GeForce GTX 1070,2029.0
Acer,Aspire A315-51,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 6006U,2GHz,0,1,Intel,HD Graphics 520,447.0
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,512,0,Nvidia,GeForce GTX 1050,1249.26
Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,0,0,Nvidia,GeForce GTX 1050,899.0
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i5 7200U,2.5GHz,128,0,Intel,HD Graphics 620,498.0
MSI,GE73VR 7RE,Gaming,17.3,Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GeForce GTX 1060,1890.0
HP,EliteBook 840,Ultrabook,14.0,Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 7500U,2.7GHz,256,0,Intel,HD Graphics 620,1082.0
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,6GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,AMD,Radeon 520,619.0
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,4GB,Windows 10,Intel,Core i3 7100U,2.4GHz,256,0,Intel,HD Graphics 620,629.0
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,HD Graphics 620,1315.0
Dell,Inspiron 5579,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,8GB,Windows 10,Intel,Core i7 8550U,1.8GHz,256,0,Intel,UHD Graphics 620,1049.0
Toshiba,Satellite Pro,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 6006U,2.2GHz,0,500,Intel,HD Graphics 520,447.0
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1366x768,4GB,Windows 10,AMD,A9-Series 9420,3GHz,0,1,AMD,Radeon R5 M420,403.0
Acer,Aspire A517-51G,Notebook,17.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Nvidia,GeForce MX150,805.0
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,AMD,Radeon 520,728.0
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,0,Nvidia,GTX 1050 Ti,1079.0
MSI,GE63VR 7RE,Gaming,15.6,IPS Panel Full HD 1920x1080,16GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,256,1,Nvidia,GeForce GTX 1060,1799.0
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i7 7700HQ,2.8GHz,128,1,Nvidia,GeForce GTX 1050,1060.49
Acer,Aspire A517-51G,Notebook,17.3,IPS Panel Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Nvidia,GeForce MX150,854.0
HP,ProBook 430,Notebook,13.3,IPS Panel Full HD 1920x1080,4GB,Windows 10,Intel,Core i5 8250U,1.6GHz,0,500,Intel,UHD Graphics 620,754.0
Huawei,MateBook X,Ultrabook,13.0,IPS Panel Full HD 2160x1440,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,256,0,Intel,HD Graphics 620,1349.0
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,6GB,Windows 10,Intel,Core i5 7200U,2.5GHz,0,2,AMD,Radeon 520,699.0
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,4GB,No OS,AMD,A6-Series 9220,2.9GHz,0,500,AMD,Radeon R4 Graphics,309.0
Toshiba,Satellite Pro,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,500,Intel,HD Graphics 620,489.0
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Nvidia,GeForce 930MX,923.0
Dell,Inspiron 3567,Notebook,15.6,1366x768,8GB,Windows 10,Intel,Core i3 7100U,2.4GHz,0,1,Intel,HD Graphics 620,459.0
Acer,Aspire A315-51,Notebook,15.6,1366x768,4GB,Windows 10,Intel,Core i3 6006U,2GHz,128,0,Intel,HD Graphics 520,449.0
MSI,GT80S 6QF-074US,Gaming,18.4,Full HD 1920x1080,32GB,Windows 10,Intel,Core i7 6920HQ,2.9GHz,512,1,Nvidia,GTX 980 SLI,2799.0
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,15.6,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 7200U,2.5GHz,128,1,AMD,R 1 7 M - M 1 - 7 0,813.0
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,1499.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,16GB,Linux,Intel,Core i7 8550U,1.8GHz,256,2,AMD,Radeon 530,1049.0
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,8GB,Windows 10,Intel,Core i5 8250U,1.6GHz,256,0,Intel,UHD Graphics 620,1399.0
